Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(113272k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=104857600 -XX:MaxHeapSize=104857600 -XX:MaxNewSize=34955264 -XX:MaxTenuringThreshold=6 -XX:NewSize=34955264 -XX:OldPLABSize=16 -XX:OldSize=69902336 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
19.654: [GC (Allocation Failure) 19.654: [ParNew: 28283K->1201K(30720K), 0.0027421 secs] 61215K->34141K(99008K), 0.0028243 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
19.822: [GC (Allocation Failure) 19.822: [ParNew: 28529K->1039K(30720K), 0.0038725 secs] 61469K->33993K(99008K), 0.0039650 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
20.004: [GC (Allocation Failure) 20.004: [ParNew: 28367K->1198K(30720K), 0.0040471 secs] 61321K->34163K(99008K), 0.0041355 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
20.178: [GC (Allocation Failure) 20.178: [ParNew: 28526K->1195K(30720K), 0.0029642 secs] 61491K->34174K(99008K), 0.0030497 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
20.344: [GC (Allocation Failure) 20.344: [ParNew: 28523K->888K(30720K), 0.0085535 secs] 61502K->33878K(99008K), 0.0087627 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
20.518: [GC (Allocation Failure) 20.518: [ParNew: 28216K->1198K(30720K), 0.0053571 secs] 61206K->34199K(99008K), 0.0054517 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
20.673: [GC (Allocation Failure) 20.673: [ParNew: 28526K->756K(30720K), 0.0035614 secs] 61527K->33765K(99008K), 0.0036637 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
20.817: [GC (Allocation Failure) 20.817: [ParNew: 28084K->1037K(30720K), 0.0032410 secs] 61093K->34059K(99008K), 0.0033237 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.007: [GC (Allocation Failure) 21.007: [ParNew: 28365K->1311K(30720K), 0.0027213 secs] 61387K->34341K(99008K), 0.0028086 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.148: [GC (Allocation Failure) 21.148: [ParNew: 28636K->982K(30720K), 0.0046033 secs] 61667K->34024K(99008K), 0.0047107 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
21.291: [GC (Allocation Failure) 21.291: [ParNew: 28303K->1040K(30720K), 0.0116552 secs] 61345K->34093K(99008K), 0.0117748 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
21.440: [GC (Allocation Failure) 21.440: [ParNew: 28368K->1008K(30720K), 0.0040831 secs] 61421K->34075K(99008K), 0.0042073 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
21.589: [GC (Allocation Failure) 21.589: [ParNew: 28336K->2572K(30720K), 0.0045253 secs] 61403K->35647K(99008K), 0.0046663 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
21.722: [GC (Allocation Failure) 21.722: [ParNew: 29900K->1646K(30720K), 0.0091400 secs] 62975K->36291K(99008K), 0.0092407 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
21.871: [GC (Allocation Failure) 21.871: [ParNew: 28974K->1157K(30720K), 0.0077205 secs] 63619K->35801K(99008K), 0.0078293 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
22.022: [GC (Allocation Failure) 22.022: [ParNew: 28485K->1216K(30720K), 0.0053351 secs] 63129K->35860K(99008K), 0.0054298 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
22.155: [GC (Allocation Failure) 22.155: [ParNew: 28544K->933K(30720K), 0.0044777 secs] 63188K->35577K(99008K), 0.0045728 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
22.285: [GC (Allocation Failure) 22.285: [ParNew: 28260K->760K(30720K), 0.0032814 secs] 62904K->35404K(99008K), 0.0033781 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
22.424: [GC (Allocation Failure) 22.424: [ParNew: 28088K->1024K(30720K), 0.0052155 secs] 62732K->35668K(99008K), 0.0053128 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
22.552: [GC (Allocation Failure) 22.552: [ParNew: 28351K->912K(30720K), 0.0039378 secs] 62996K->35584K(99008K), 0.0040476 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
22.688: [GC (Allocation Failure) 22.688: [ParNew: 28239K->862K(30720K), 0.0040803 secs] 62911K->35551K(99008K), 0.0042025 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
22.808: [GC (Allocation Failure) 22.808: [ParNew: 28190K->1040K(30720K), 0.0028149 secs] 62879K->35743K(99008K), 0.0029033 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
22.931: [GC (Allocation Failure) 22.931: [ParNew: 28368K->1182K(30720K), 0.0044664 secs] 63071K->35990K(99008K), 0.0045699 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
23.058: [GC (Allocation Failure) 23.058: [ParNew: 28510K->1047K(30720K), 0.0029475 secs] 63318K->35937K(99008K), 0.0030368 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
23.181: [GC (Allocation Failure) 23.181: [ParNew: 28375K->749K(30720K), 0.0035726 secs] 63265K->35648K(99008K), 0.0036570 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
23.305: [GC (Allocation Failure) 23.305: [ParNew: 28077K->513K(30720K), 0.0044652 secs] 62976K->35421K(99008K), 0.0045565 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
23.420: [GC (Allocation Failure) 23.420: [ParNew: 27841K->711K(30720K), 0.0033232 secs] 62749K->35627K(99008K), 0.0034293 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
23.544: [GC (Allocation Failure) 23.544: [ParNew: 28039K->814K(30720K), 0.0049230 secs] 62955K->35736K(99008K), 0.0050455 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
23.663: [GC (Allocation Failure) 23.663: [ParNew: 28142K->392K(30720K), 0.0056418 secs] 63064K->35320K(99008K), 0.0057333 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
23.790: [GC (Allocation Failure) 23.790: [ParNew: 27720K->217K(30720K), 0.0024910 secs] 62648K->35151K(99008K), 0.0026105 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
23.896: [GC (Allocation Failure) 23.896: [ParNew: 27545K->228K(30720K), 0.0023930 secs] 62479K->35178K(99008K), 0.0025386 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
24.004: [GC (Allocation Failure) 24.004: [ParNew: 27549K->413K(30720K), 0.0021755 secs] 62499K->35380K(99008K), 0.0022545 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.106: [GC (Allocation Failure) 24.106: [ParNew: 27741K->503K(30720K), 0.0023238 secs] 62708K->35490K(99008K), 0.0024019 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
24.212: [GC (Allocation Failure) 24.212: [ParNew: 27831K->568K(30720K), 0.0026732 secs] 62818K->35574K(99008K), 0.0027556 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
24.321: [GC (Allocation Failure) 24.321: [ParNew: 27896K->779K(30720K), 0.0038280 secs] 62902K->35796K(99008K), 0.0039100 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
24.441: [GC (Allocation Failure) 24.441: [ParNew: 28107K->759K(30720K), 0.0029514 secs] 63124K->35791K(99008K), 0.0030706 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
24.571: [GC (Allocation Failure) 24.571: [ParNew: 28087K->632K(30720K), 0.0023068 secs] 63119K->35675K(99008K), 0.0023895 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
24.670: [GC (Allocation Failure) 24.670: [ParNew: 27960K->719K(30720K), 0.0032421 secs] 63003K->35841K(99008K), 0.0033300 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
24.768: [GC (Allocation Failure) 24.768: [ParNew: 28047K->750K(30720K), 0.0025753 secs] 63169K->35977K(99008K), 0.0026625 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
24.860: [GC (Allocation Failure) 24.860: [ParNew: 28074K->478K(30720K), 0.0020360 secs] 63302K->35807K(99008K), 0.0021151 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
24.948: [GC (Allocation Failure) 24.948: [ParNew: 27806K->308K(30720K), 0.0023727 secs] 63135K->35713K(99008K), 0.0024892 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.058: [GC (Allocation Failure) 25.058: [ParNew: 27631K->383K(30720K), 0.0024897 secs] 63036K->35812K(99008K), 0.0025713 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.162: [GC (Allocation Failure) 25.162: [ParNew: 27711K->263K(30720K), 0.0033280 secs] 63140K->35703K(99008K), 0.0034179 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
25.253: [GC (Allocation Failure) 25.253: [ParNew: 27591K->144K(30720K), 0.0029872 secs] 63031K->35591K(99008K), 0.0030926 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
25.339: [GC (Allocation Failure) 25.339: [ParNew: 27472K->172K(30720K), 0.0047029 secs] 62919K->35625K(99008K), 0.0048220 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
25.433: [GC (Allocation Failure) 25.433: [ParNew: 27500K->159K(30720K), 0.0021122 secs] 62953K->35625K(99008K), 0.0021928 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
25.536: [GC (Allocation Failure) 25.536: [ParNew: 27486K->201K(30720K), 0.0022005 secs] 62952K->35674K(99008K), 0.0023110 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
25.622: [GC (Allocation Failure) 25.622: [ParNew: 27529K->156K(30720K), 0.0021445 secs] 63002K->35645K(99008K), 0.0022409 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
25.713: [GC (Allocation Failure) 25.713: [ParNew: 27484K->180K(30720K), 0.0020872 secs] 62973K->35680K(99008K), 0.0021636 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.793: [GC (Allocation Failure) 25.793: [ParNew: 27508K->195K(30720K), 0.0098666 secs] 63008K->35708K(99008K), 0.0099868 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
25.890: [GC (Allocation Failure) 25.890: [ParNew: 27523K->237K(30720K), 0.0025134 secs] 63036K->35755K(99008K), 0.0026360 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
25.980: [GC (Allocation Failure) 25.980: [ParNew: 27565K->209K(30720K), 0.0028289 secs] 63083K->35739K(99008K), 0.0029500 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
26.069: [GC (Allocation Failure) 26.069: [ParNew: 27537K->191K(30720K), 0.0020889 secs] 63067K->35737K(99008K), 0.0021683 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
26.148: [GC (Allocation Failure) 26.148: [ParNew: 27519K->156K(30720K), 0.0021815 secs] 63065K->35715K(99008K), 0.0023286 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
26.218: [GC (Allocation Failure) 26.218: [ParNew: 27484K->166K(30720K), 0.0025257 secs] 63043K->35732K(99008K), 0.0026441 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
26.298: [GC (Allocation Failure) 26.299: [ParNew: 27494K->215K(30720K), 0.0022887 secs] 63060K->35796K(99008K), 0.0024947 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
26.366: [GC (Allocation Failure) 26.366: [ParNew: 27543K->199K(30720K), 0.0020628 secs] 63124K->35786K(99008K), 0.0021410 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
26.451: [GC (Allocation Failure) 26.451: [ParNew: 27527K->183K(30720K), 0.0024862 secs] 63114K->35799K(99008K), 0.0025795 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
26.514: [GC (Allocation Failure) 26.514: [ParNew: 27508K->172K(30720K), 0.0048356 secs] 63124K->35807K(99008K), 0.0049779 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
26.581: [GC (Allocation Failure) 26.581: [ParNew: 27500K->159K(30720K), 0.0033612 secs] 63135K->35800K(99008K), 0.0036602 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
